dataset,algorithm,seed,k,ndcg,precision
AmazonVideoGames,ItemKNN,123,1,0.004744583267436343,0.004744583267436343
AmazonVideoGames,ItemKNN,123,5,0.005941758805482585,0.0032199905108334925
AmazonVideoGames,ItemKNN,123,10,0.006484857815479092,0.002318519690020562
AmazonVideoGames,Pop,123,1,0.004744583267436343,0.004744583267436343
AmazonVideoGames,Pop,123,5,0.005941758805482585,0.0032199905108334925
AmazonVideoGames,Pop,123,10,0.006484857815479092,0.002318519690020562
AmazonVideoGames,ALS,999,1,0.004396647161157678,0.004396647161157678
AmazonVideoGames,ALS,999,5,0.006213711091159195,0.0032452949549264865
AmazonVideoGames,ALS,999,10,0.006899242505963489,0.0023533133006484273
AmazonVideoGames,ItemKNN,999,1,0.004396647161157678,0.004396647161157678
AmazonVideoGames,ItemKNN,999,5,0.006213711091159195,0.0032452949549264865
AmazonVideoGames,ItemKNN,999,10,0.006899242505963489,0.0023533133006484273
AmazonVideoGames,Pop,999,1,0.004396647161157678,0.004396647161157678
AmazonVideoGames,Pop,999,5,0.006213711091159195,0.0032452949549264865
AmazonVideoGames,Pop,999,10,0.006899242505963489,0.0023533133006484273
AmazonVideoGames,ALS,7,1,0.004270124940692709,0.004270124940692709
AmazonVideoGames,ALS,7,5,0.005600022734424518,0.003036533291159285
AmazonVideoGames,ALS,7,10,0.006111753116772772,0.0022299541356950885
AmazonVideoGames,ItemKNN,7,1,0.004270124940692709,0.004270124940692709
AmazonVideoGames,ItemKNN,7,5,0.005600022734424518,0.003036533291159285
AmazonVideoGames,ItemKNN,7,10,0.006111753116772772,0.0022299541356950885
AmazonVideoGames,Pop,7,1,0.004270124940692709,0.004270124940692709
AmazonVideoGames,Pop,7,5,0.005600022734424518,0.003036533291159285
AmazonVideoGames,Pop,7,10,0.006111753116772772,0.0022299541356950885
AmazonVideoGames,ALS,2024,1,0.004586430491855132,0.004586430491855132
AmazonVideoGames,ALS,2024,5,0.00615731964533584,0.003125098845484765
AmazonVideoGames,ALS,2024,10,0.0066935441119690565,0.002217301913648593
AmazonVideoGames,ItemKNN,2024,1,0.004586430491855132,0.004586430491855132
AmazonVideoGames,ItemKNN,2024,5,0.00615731964533584,0.003125098845484765
AmazonVideoGames,ItemKNN,2024,10,0.0066935441119690565,0.002217301913648593
AmazonVideoGames,Pop,2024,1,0.004586430491855132,0.004586430491855132
AmazonVideoGames,Pop,2024,5,0.00615731964533584,0.003125098845484765
AmazonVideoGames,Pop,2024,10,0.0066935441119690565,0.002217301913648593
HetrecLastFM,ALS,42,1,0.012547051442910916,0.012547051442910916
HetrecLastFM,ALS,42,5,0.011121914072725269,0.009159347553324959
HetrecLastFM,ALS,42,10,0.013901020140095609,0.009849435382685049
HetrecLastFM,ItemKNN,42,1,0.012547051442910916,0.012547051442910916
HetrecLastFM,ItemKNN,42,5,0.011121914072725269,0.009159347553324959
HetrecLastFM,ItemKNN,42,10,0.013901020140095609,0.009849435382685049
HetrecLastFM,Pop,42,1,0.012547051442910916,0.012547051442910916
HetrecLastFM,Pop,42,5,0.011121914072725269,0.009159347553324959
HetrecLastFM,Pop,42,10,0.013901020140095609,0.009849435382685049
HetrecLastFM,ALS,123,1,0.0075282308657465494,0.0075282308657465494
HetrecLastFM,ALS,123,5,0.010340799800988114,0.0077791718946047615
HetrecLastFM,ALS,123,10,0.012614508564451057,0.00828105395232119
HetrecLastFM,ItemKNN,123,1,0.0075282308657465494,0.0075282308657465494
HetrecLastFM,ItemKNN,123,5,0.010340799800988114,0.0077791718946047615
HetrecLastFM,ItemKNN,123,10,0.012614508564451057,0.00828105395232119
HetrecLastFM,Pop,123,1,0.0075282308657465494,0.0075282308657465494
HetrecLastFM,Pop,123,5,0.010340799800988114,0.0077791718946047615
HetrecLastFM,Pop,123,10,0.012614508564451057,0.00828105395232119
HetrecLastFM,ALS,999,1,0.00878293601003764,0.00878293601003764
